FIPS,County,City,Year,Estimate,Primary Point
1958890,Henry,Olds,July 01 2011,232,POINT (-91.544229 41.1341655)
1961860,Madison,Patterson,July 01 2014,164,POINT (-93.8771716 41.3484882)
1914475,Wayne,Clio,July 01 2015,78,POINT (-93.4513925 40.6359742)
1949845,Jones,Martelle,July 01 2015,3801,POINT (-91.3577596 42.0204466)
1984945,Clinton,Wheatland,July 01 2014,746,POINT (-90.8378722 41.8328916)
1985845,Iowa,Williamsburg,July 01 2013,3129,POINT (-92.0098017 41.6679743)
1952950,Polk,Mitchellville (pt.),July 01 2018,2277,POINT (-93.3629093 41.6678771)
1923970,Monroe,Eddyville (pt.),July 01 2017,0,POINT (-92.6297911 41.1592059)
1947010,Clinton,Low Moor,July 01 2013,279,POINT (-90.3542133 41.8023436)
1957630,Worth,Northwood,April 01 2010,1989,POINT (-93.2166459 43.444054)
1940980,Washington,Keota (pt.),July 01 2013,0,POINT (-91.953364 41.3654267)
19017,Bremer,Balance of Bremer County,July 01 2018,7346,POINT (-92.3180548 42.7745873)
1951105,Guthrie,Menlo,July 01 2014,350,POINT (-94.404251 41.5221445)
1953625,Jones,Monticello,July 01 2011,115,POINT (-91.1836421 42.2303515)
1926355,Fayette,Fairbank (pt.),July 01 2016,284,POINT (-92.0475697 42.6401042)
1944400,Plymouth,Le Mars,July 01 2016,9940,POINT (-96.1742476 42.7809352)
1947730,Calhoun,Lytton (pt.),July 01 2011,42,POINT (-94.8604989 42.4233029)
1907660,Dallas,Bouton,April 01 2010,129,POINT (-94.0105732 41.8511411)
1913845,Clayton,Clayton,July 01 2013,40,POINT (-91.1505737 42.9033147)
1972345,Polk,Sheldahl (pt.),April 01 2010,134,POINT (-93.6967164 41.8642901)
1949215,Clinton,Maquoketa (pt.),July 01 2015,2,POINT (-90.6650882 42.0598994)
1937515,Sioux,Hull,July 01 2013,2203,POINT (-96.1336554 43.1894543)
19177,Van Buren,Balance of Van Buren County,July 01 2018,3798,POINT (-91.9499871 40.7532294)
1980130,Crawford,Vail,July 01 2013,441,POINT (-95.2003198 42.0598224)
1910450,Van Buren,Cantril,July 01 2016,212,POINT (-92.0684662 40.6428412)
1913980,Taylor,Clearfield (pt.),July 01 2012,358,POINT (-94.4825546 40.8025441)
1919360,Decatur,Decatur City,July 01 2017,182,POINT (-93.8327285 40.7423389)
1950700,Cedar,Mechanicsville,July 01 2012,1123,POINT (-91.2532455 41.905572)
19183,Washington,Balance of Washington County,July 01 2011,8032,POINT (-91.7178676 41.335591)
1902755,Crawford,Arion,July 01 2015,109,POINT (-95.4623218 41.9481606)
1904330,Jackson,Baldwin,July 01 2015,109,POINT (-90.8385145 42.0732052)
1948500,Jefferson,Maharishi Vedic City,July 01 2013,1301,POINT (-92.0138829 41.0543302)
1913350,Greene,Churdan,July 01 2011,384,POINT (-94.4786263 42.1538724)
1948990,Calhoun,Manson,July 01 2014,1623,POINT (-94.5401543 42.5283851)
1921675,Emmet,Dolliver,July 01 2018,59,POINT (-94.6143179 43.4638362)
1984315,Muscatine,West Liberty,July 01 2016,3725,POINT (-91.2621646 41.5725743)
1971040,Winnebago,Scarville,July 01 2016,69,POINT (-93.6165718 43.4709669)
1982065,Pottawattamie,Walnut,July 01 2014,780,POINT (-95.2204992 41.4884727)
1944355,Winnebago,Leland,July 01 2016,281,POINT (-93.6350977 43.3318155)
1974955,Buchanan,Stanley (pt.),July 01 2016,116,POINT (-91.8123104 42.6416487)
1916140,Jefferson,Coppock (pt.),July 01 2017,4,POINT (-91.7150539 41.163535)
1914025,Cerro Gordo,Clear Lake,July 01 2014,7676,POINT (-93.3739922 43.1346536)
1960420,Humboldt,Ottosen,April 01 2010,55,POINT (-94.3755469 42.8980883)
1978825,Pottawattamie,Treynor,July 01 2013,931,POINT (-95.6063422 41.2321933)
1901675,Lyon,Alvord,July 01 2016,201,POINT (-96.3025937 43.3417889)
1944670,Lyon,Lester,July 01 2018,305,POINT (-96.3314371 43.4402995)
1949260,Buena Vista,Marathon,July 01 2018,230,POINT (-94.9828656 42.8601931)
1917130,Washington,Crawfordsville,July 01 2016,269,POINT (-91.5366275 41.2139194)
1902125,Jackson,Andrew,April 01 2010,434,POINT (-90.5919309 42.153216)
1909550,Des Moines,Burlington,April 01 2010,25663,POINT (-91.1248966 40.8071958)
1948450,Boone,Madrid,July 01 2018,2562,POINT (-93.820109 41.8756295)
1964290,Clayton,Postville (pt.),July 01 2017,262,POINT (-91.5682128 43.0839487)
1962850,Boone,Pilot Mound,April 01 2010,173,POINT (-94.0183302 42.1592616)
1985710,Carroll,Willey,July 01 2013,101,POINT (-94.8223651 41.9787458)
1982965,Henry,Wayland,July 01 2012,956,POINT (-91.659088 41.148462)
1939585,Black Hawk,Jesup (pt.),July 01 2013,124,POINT (-92.0659027 42.4744701)
19069,Franklin,Balance of Franklin County,July 01 2015,3508,POINT (-93.262473 42.7325458)
1960240,Woodbury,Oto,July 01 2011,110,POINT (-95.8945487 42.2820807)
1925365,Linn,Ely,July 01 2015,2077,POINT (-91.5850379 41.8753461)
1949845,Jones,Martelle,July 01 2011,3783,POINT (-91.3577596 42.0204466)
1937920,Story,Huxley,July 01 2012,3356,POINT (-93.5913007 41.8960875)
1949845,Jones,Martelle,July 01 2018,3885,POINT (-91.3577596 42.0204466)
1930810,Clay,Gillett Grove,April 01 2010,49,POINT (-95.0366368 43.0167093)
1950160,Cerro Gordo,Mason City,July 01 2016,27403,POINT (-93.1998074 43.1487201)
1943275,Allamakee,Lansing,July 01 2014,970,POINT (-91.2258567 43.3606897)
1981975,Emmet,Wallingford,July 01 2012,187,POINT (-94.7924275 43.3201552)
1953985,Monroe,Moravia (pt.),July 01 2012,2,POINT (-92.8191273 40.8918338)
1954120,Louisa,Morning Sun,July 01 2012,837,POINT (-91.2505611 41.0941736)
19085,Harrison,Balance of Harrison County,July 01 2016,6105,POINT (-95.8169209 41.6828528)
1947865,Pottawattamie,McClelland,July 01 2011,151,POINT (-95.68343 41.3284733)
1906940,Monona,Blencoe,July 01 2013,215,POINT (-96.0821104 41.9303416)
1978735,Tama,Traer,July 01 2018,1604,POINT (-92.4641603 42.1907351)
1986970,Boone,Woodward (pt.),July 01 2017,448,POINT (-93.9208014 41.8522961)
1926310,Appanoose,Exline,July 01 2014,158,POINT (-92.8431396 40.649046)
1901675,Lyon,Alvord,July 01 2018,202,POINT (-96.3025937 43.3417889)
1923250,Wright,Eagle Grove,July 01 2018,3417,POINT (-93.9026088 42.6667195)
1956325,Henry,New London,July 01 2017,1856,POINT (-91.4011156 40.9231717)
1978330,Kossuth,Titonka,July 01 2016,455,POINT (-94.0413989 43.2371658)
19097,Jackson,Balance of Jackson County,July 01 2016,7914,POINT (-90.5742294 42.1717426)
1983595,Cedar,West Branch (pt.),July 01 2013,2230,POINT (-91.3406612 41.6627654)
1931350,Mills,Glenwood,July 01 2013,5249,POINT (-95.7407754 41.0445208)
1972435,Butler,Shell Rock,July 01 2015,1319,POINT (-92.5818767 42.7122338)
1917670,Hancock,Crystal Lake,July 01 2011,249,POINT (-93.792707 43.2229779)
1966405,Plymouth,Remsen,July 01 2018,1621,POINT (-95.9724007 42.8148253)
1932475,Sioux,Granville,July 01 2017,308,POINT (-95.8748315 42.9852282)
1932790,Adair,Greenfield,July 01 2018,1811,POINT (-94.4591514 41.305599)
19127,Marshall,Balance of Marshall County,July 01 2016,7397,POINT (-92.9987706 42.0358499)
1958575,Sac,Odebolt,July 01 2015,969,POINT (-95.2542336 42.3117964)
1952050,Jackson,Miles,July 01 2012,451,POINT (-90.3150838 42.048783)
1983415,Kossuth,Wesley,July 01 2017,370,POINT (-93.9936857 43.0886724)
1903655,Audubon,Audubon,July 01 2013,2068,POINT (-94.9285729 41.7183297)
1982020,Sac,Wall Lake,July 01 2018,760,POINT (-95.0927786 42.267186)
1914520,Polk,Clive (pt.),July 01 2014,11732,POINT (-93.7972549 41.6144592)
1975810,Webster,Stratford (pt.),July 01 2017,29,POINT (-93.9272412 42.2691235)
1966360,Buena Vista,Rembrandt,July 01 2018,198,POINT (-95.1656104 42.8257187)
1900910,Monroe,Albia,July 01 2011,3815,POINT (-92.803847 41.0271155)
1948990,Calhoun,Manson,July 01 2018,1578,POINT (-94.5401543 42.5283851)
19127,Marshall,Balance of Marshall County,July 01 2017,7393,POINT (-92.9987706 42.0358499)
1903025,Dickinson,Arnolds Park,July 01 2017,1284,POINT (-95.1362945 43.3602008)
1926355,Buchanan,Fairbank (pt.),July 01 2013,815,POINT (-92.0475697 42.6401042)
1985710,Carroll,Willey,July 01 2017,99,POINT (-94.8223651 41.9787458)
1927255,Marshall,Ferguson,July 01 2015,126,POINT (-92.8630313 41.9385801)
1931665,Clinton,Goose Lake,July 01 2014,233,POINT (-90.3817617 41.9678833)
1972390,Sioux,Sheldon (pt.),July 01 2017,174,POINT (-95.8440092 43.1796213)
1960825,Mills,Pacific Junction,July 01 2012,461,POINT (-95.7995623 41.0179888)
1937155,Delaware,Hopkinton,April 01 2010,628,POINT (-91.248661 42.3431218)
1944490,Taylor,Lenox (pt.),July 01 2016,1396,POINT (-94.5583357 40.8830419)
1969960,Jackson,St. Donatus,July 01 2011,136,POINT (-90.5420029 42.3622991)
1912000,Linn,Cedar Rapids,July 01 2016,131169,POINT (-91.6781641 41.966733)
1922845,Black Hawk,Dunkerton,July 01 2018,838,POINT (-92.161378 42.5673881)
1934635,Osceola,Harris,July 01 2018,161,POINT (-95.4370934 43.4435137)
1939135,Winneshiek,Jackson Junction,July 01 2018,54,POINT (-92.0462156 43.1013241)
1911485,Winneshiek,Castalia,April 01 2010,173,POINT (-91.6769622 43.1128048)
1923160,Tama,Dysart,July 01 2016,1346,POINT (-92.3090956 42.1721011)
1984835,Henry,Westwood,July 01 2011,112,POINT (-91.6266238 40.9647732)
1965955,Jasper,Reasnor,July 01 2018,155,POINT (-93.0229143 41.5788538)
1907345,Van Buren,Bonaparte,July 01 2018,404,POINT (-91.8005215 40.7011739)
1980175,Jasper,Valeria,July 01 2013,56,POINT (-93.3255658 41.7297895)
1960420,Humboldt,Ottosen,July 01 2016,37,POINT (-94.3755469 42.8980883)
1968700,Mahaska,Rose Hill,July 01 2012,166,POINT (-92.4636988 41.3203615)
1926400,Linn,Fairfax,July 01 2018,2767,POINT (-91.7758659 41.9227519)
1950880,Marshall,Melbourne,July 01 2014,824,POINT (-93.1026156 41.9415478)
19163,Scott,Balance of Scott County,July 01 2012,15293,POINT (-90.6232428 41.6370978)
1901090,Franklin,Alexander,July 01 2015,168,POINT (-93.4786472 42.8044201)
1976665,Marion,Swan,July 01 2017,73,POINT (-93.3095681 41.4674984)
1942690,Sac,Lake View,July 01 2011,1123,POINT (-95.0407782 42.3046918)
1979500,Pottawattamie,Underwood,July 01 2012,935,POINT (-95.6820111 41.3807698)
1964110,Franklin,Popejoy,July 01 2014,78,POINT (-93.4278229 42.5938807)
1901045,Hardin,Alden,July 01 2016,754,POINT (-93.380649 42.5105935)
1904105,Palo Alto,Ayrshire,July 01 2018,134,POINT (-94.8335229 43.0395515)
1914430,Clinton,Clinton,July 01 2013,26350,POINT (-90.2407895 41.8434359)
1942960,Decatur,Lamoni,April 01 2010,2324,POINT (-93.934323 40.6204912)
1986070,Cedar,Wilton (pt.),July 01 2016,5,POINT (-91.0269994 41.5898612)
1926895,Van Buren,Farmington,July 01 2012,656,POINT (-91.7390137 40.6388538)
19101,Jefferson,Balance of Jefferson County,July 01 2016,5068,POINT (-91.9488774 41.0317596)
19141,O'Brien,Balance of O'Brien County,July 01 2012,3325,POINT (-95.6248784 43.0837527)
1939765,Polk,Johnston,July 01 2016,21102,POINT (-93.7172578 41.6856012)
1935580,Buchanan,Hazleton,July 01 2011,820,POINT (-91.9058398 42.6177464)
1902080,Clinton,Andover,April 01 2010,103,POINT (-90.2529846 41.9799233)
1931575,Hancock,Goodell,April 01 2010,139,POINT (-93.614062 42.9237297)
1975990,Adair,Stuart (pt.),April 01 2010,699,POINT (-94.3186774 41.5002688)
1948945,Carroll,Manning,July 01 2014,1478,POINT (-95.0642334 41.9092116)
1957675,Polk,Norwalk (pt.),July 01 2016,0,POINT (-93.6922661 41.4914536)
1937920,Story,Huxley,July 01 2015,3554,POINT (-93.5913007 41.8960875)
1958620,Fayette,Oelwein,July 01 2017,5959,POINT (-91.9131952 42.6713674)
1986520,Madison,Winterset,July 01 2017,5280,POINT (-94.013512 41.3455206)
1981705,Scott,Walcott (pt.),April 01 2010,1629,POINT (-90.771914 41.5865454)
1947505,Benton,Luzerne,July 01 2017,94,POINT (-92.1802573 41.9057019)
19045,Clinton,Balance of Clinton County,April 01 2010,8329,POINT (-90.5319724 41.8980358)
19091,Humboldt,Balance of Humboldt County,July 01 2013,2485,POINT (-94.2071868 42.7764686)
1972390,Sioux,Sheldon (pt.),July 01 2014,172,POINT (-95.8440092 43.1796213)
1934860,Marion,Harvey,July 01 2014,238,POINT (-92.922688 41.3179424)
1965955,Jasper,Reasnor,July 01 2014,153,POINT (-93.0229143 41.5788538)
1939405,Black Hawk,Janesville (pt.),April 01 2010,127,POINT (-92.4629269 42.6458874)
1928920,Boone,Fraser,July 01 2016,102,POINT (-93.9734887 42.1250435)
1907075,Muscatine,Blue Grass (pt.),July 01 2018,46,POINT (-90.7648763 41.5095767)
1955335,Floyd,Nashua (pt.),April 01 2010,2,POINT (-92.5417304 42.950168)
1920035,Bremer,Denver,July 01 2018,1841,POINT (-92.3346405 42.6688889)
1955965,Buena Vista,Newell,July 01 2013,885,POINT (-95.0039777 42.609682)
1905770,Cedar,Bennett,July 01 2013,393,POINT (-90.9738424 41.7398285)
1903970,Pottawattamie,Avoca,July 01 2013,1504,POINT (-95.3373168 41.4828711)
1908560,Butler,Bristow,July 01 2013,158,POINT (-92.9079267 42.7738236)
1919630,Delaware,Delaware,July 01 2015,154,POINT (-91.339042 42.4712845)
1932745,Butler,Greene (pt.),April 01 2010,1130,POINT (-92.8043393 42.8969089)
19091,Humboldt,Balance of Humboldt County,April 01 2010,2514,POINT (-94.2071868 42.7764686)
1956370,Taylor,New Market,July 01 2015,412,POINT (-94.9004948 40.7323633)
1908695,Poweshiek,Brooklyn,July 01 2013,1443,POINT (-92.4452965 41.731528)
1962625,Clay,Peterson,July 01 2015,322,POINT (-95.3430601 42.9176513)
1950385,Sioux,Matlock,April 01 2010,87,POINT (-95.9345034 43.2443282)
1939675,Hamilton,Jewell Junction,April 01 2010,1215,POINT (-93.6399868 42.3105346)
1961320,Guthrie,Panora,July 01 2014,1084,POINT (-94.3637004 41.6910202)
19171,Tama,Balance of Tama County,July 01 2013,6785,POINT (-92.5325425 42.0798117)
1983370,Clinton,Welton,July 01 2013,161,POINT (-90.5960951 41.9076799)
1983910,Madison,West Des Moines (pt.),July 01 2012,1,POINT (-93.7802969 41.5527354)
1970320,Woodbury,Salix,July 01 2016,389,POINT (-96.3158764 42.3206398)
1929055,Louisa,Fredonia,July 01 2018,236,POINT (-91.3393851 41.284514)
1977745,Winnebago,Thompson,July 01 2012,490,POINT (-93.7746954 43.3697498)
1954930,Woodbury,Moville,July 01 2011,1626,POINT (-96.0679063 42.4894254)
1984835,Henry,Westwood,July 01 2016,110,POINT (-91.6266238 40.9647732)
1979950,Polk,Urbandale (pt.),July 01 2017,33110,POINT (-93.7813726 41.6390015)
19141,O'Brien,Balance of O'Brien County,July 01 2016,3247,POINT (-95.6248784 43.0837527)
1910045,Winneshiek,Calmar,July 01 2012,971,POINT (-91.8677508 43.1805636)
1930945,Humboldt,Gilmore City (pt.),July 01 2014,279,POINT (-94.4369129 42.7269003)
1944535,Decatur,Leon,July 01 2014,1897,POINT (-93.7545236 40.7407471)
1971040,Winnebago,Scarville,July 01 2014,70,POINT (-93.6165718 43.4709669)
1926985,Fremont,Farragut,July 01 2017,445,POINT (-95.4806851 40.7200068)
1909685,Kossuth,Burt,July 01 2015,516,POINT (-94.2210539 43.1989094)
1964065,Calhoun,Pomeroy,July 01 2014,631,POINT (-94.6778218 42.5519497)
1902305,Polk,Ankeny,July 01 2017,62389,POINT (-93.603264 41.727907)
1980535,Pocahontas,Varina,July 01 2015,68,POINT (-94.8976674 42.6581176)
1969915,Madison,St. Charles,April 01 2010,653,POINT (-93.8074923 41.2880818)
1985800,Hamilton,Williams,July 01 2015,333,POINT (-93.5410724 42.489213)
1975810,Webster,Stratford (pt.),July 01 2013,29,POINT (-93.9272412 42.2691235)
1922080,Cerro Gordo,Dougherty,July 01 2014,57,POINT (-93.0358831 42.9219661)
1947010,Clinton,Low Moor,July 01 2012,282,POINT (-90.3542133 41.8023436)
1932025,Clinton,Grand Mound,July 01 2017,608,POINT (-90.6501579 41.8232709)
1976620,Cerro Gordo,Swaledale,July 01 2015,159,POINT (-93.3154698 42.9765243)
1919000,Scott,Davenport,July 01 2015,102434,POINT (-90.6051955 41.5557666)
1921225,Dallas,Dexter,April 01 2010,611,POINT (-94.2276214 41.5153845)
1954165,Grundy,Morrison,July 01 2018,92,POINT (-92.6732838 42.3429631)
1905635,Jackson,Bellevue,April 01 2010,2191,POINT (-90.4318375 42.2625585)
1947055,Clayton,Luana,July 01 2013,267,POINT (-91.4557178 43.0594516)
1906085,Dubuque,Bernard,July 01 2016,116,POINT (-90.8317558 42.3132971)
1983595,Johnson,West Branch (pt.),July 01 2011,96,POINT (-91.3406612 41.6627654)
19001,Adair,Balance of Adair County,July 01 2018,2699,POINT (-94.4709413 41.3307464)
1966585,Howard,Riceville (pt.),July 01 2017,310,POINT (-92.5541081 43.362157)
1922305,Franklin,Dows (pt.),July 01 2018,73,POINT (-93.5012304 42.6592854)
1940215,Hamilton,Kamrar,July 01 2015,196,POINT (-93.7279798 42.3896833)
1976665,Marion,Swan,July 01 2016,73,POINT (-93.3095681 41.4674984)
1950160,Cerro Gordo,Mason City,July 01 2018,27093,POINT (-93.1998074 43.1487201)
1962130,Dubuque,Peosta,July 01 2012,1494,POINT (-90.8475209 42.447383)
1911395,Guthrie,Casey (pt.),July 01 2014,397,POINT (-94.5212707 41.5074602)
1974415,Dickinson,Spirit Lake,July 01 2011,4903,POINT (-95.1108029 43.4177008)
1949935,Keokuk,Martinsburg,July 01 2016,109,POINT (-92.2519181 41.1786664)
1900505,Dallas,Adel,July 01 2015,3988,POINT (-94.0135968 41.6121709)
1911395,Guthrie,Casey (pt.),July 01 2017,393,POINT (-94.5212707 41.5074602)
1926940,Webster,Farnhamville (pt.),July 01 2016,0,POINT (-94.407793 42.2767837)
1912765,Floyd,Charles City,July 01 2013,7496,POINT (-92.6745202 43.0643521)
1960645,Johnson,Oxford,July 01 2017,809,POINT (-91.7912597 41.7226966)
1915195,Story,Collins,July 01 2014,492,POINT (-93.3082881 41.9019614)
1969285,Lucas,Russell,April 01 2010,554,POINT (-93.2005385 40.9801052)
1952815,Jasper,Mingo,April 01 2010,302,POINT (-93.2826185 41.7662068)
1967440,Washington,Riverside,July 01 2016,1030,POINT (-91.536553 41.4981029)
1906805,Benton,Blairstown,July 01 2016,667,POINT (-92.0823291 41.9062103)
1945390,Dallas,Linden,July 01 2017,200,POINT (-94.2699847 41.6427085)
1919675,Delaware,Delhi,July 01 2018,469,POINT (-91.3305383 42.4302416)
1925050,Hamilton,Ellsworth,July 01 2017,504,POINT (-93.5818424 42.3101461)
1949395,Iowa,Marengo,July 01 2018,2455,POINT (-92.0679221 41.7965768)
1925815,Page,Essex,April 01 2010,798,POINT (-95.3038067 40.832679)
19185,Wayne,Balance of Wayne County,July 01 2018,2690,POINT (-93.3273639 40.7394702)
1949485,Linn,Marion,July 01 2013,36800,POINT (-91.585326 42.0443653)
1937290,Sioux,Hospers,July 01 2012,715,POINT (-95.903694 43.0725353)
1934995,Mills,Hastings,July 01 2015,148,POINT (-95.4948278 41.0250884)
19005,Allamakee,Balance of Allamakee County,July 01 2014,6453,POINT (-91.3780923 43.2842838)
1967440,Washington,Riverside,July 01 2012,1038,POINT (-91.536553 41.4981029)
1924690,Clayton,Elkader,July 01 2018,1215,POINT (-91.4023462 42.8571273)
1947865,Pottawattamie,McClelland,July 01 2016,152,POINT (-95.68343 41.3284733)
1946155,Harrison,Logan,July 01 2015,1446,POINT (-95.7916479 41.64514)
1915825,Grundy,Conrad,July 01 2012,1104,POINT (-92.8741297 42.2233803)
1934500,Shelby,Harlan,April 01 2010,5106,POINT (-95.3268616 41.6495154)
1960420,Humboldt,Ottosen,July 01 2013,42,POINT (-94.3755469 42.8980883)
1956280,Scott,New Liberty,July 01 2018,142,POINT (-90.8779898 41.7159641)
1916500,Adams,Corning,July 01 2017,1459,POINT (-94.7395154 40.9929182)
1978915,Bremer,Tripoli,April 01 2010,1313,POINT (-92.2578939 42.8083304)
1976260,Bremer,Sumner (pt.),July 01 2018,1942,POINT (-92.0974233 42.8494642)
1928965,Chickasaw,Fredericksburg,July 01 2011,930,POINT (-92.1963762 42.9646442)
1986880,Clarke,Woodburn,April 01 2010,202,POINT (-93.5962852 41.0108726)
1947280,Boone,Luther,July 01 2014,119,POINT (-93.8200542 41.9669307)
1946065,Jefferson,Lockridge,July 01 2017,292,POINT (-91.7492245 40.9936662)
1972660,Dubuque,Sherrill,July 01 2016,175,POINT (-90.7841885 42.6043231)
1916140,Jefferson,Coppock (pt.),July 01 2014,4,POINT (-91.7150539 41.163535)
1965280,Cherokee,Quimby,July 01 2013,310,POINT (-95.6439386 42.629181)
19103,Johnson,Balance of Johnson County,July 01 2017,21967,POINT (-91.5880849 41.6715511)
1976260,Bremer,Sumner (pt.),July 01 2011,1992,POINT (-92.0974233 42.8494642)
1929775,Decatur,Garden Grove,July 01 2013,198,POINT (-93.6071931 40.8265786)
1932520,Taylor,Gravity,July 01 2014,183,POINT (-94.7435014 40.7601646)
1923250,Wright,Eagle Grove,July 01 2015,3449,POINT (-93.9026088 42.6667195)
19025,Calhoun,Balance of Calhoun County,July 01 2012,2739,POINT (-94.6404136 42.3851848)
1904195,Webster,Badger,July 01 2011,559,POINT (-94.1445463 42.6141459)
19171,Tama,Balance of Tama County,July 01 2014,6765,POINT (-92.5325425 42.0798117)
,Audubon,Balance of Audubon County,July 01 2011,2568,
1903385,Muscatine,Atalissa,April 01 2010,311,POINT (-91.1664541 41.5716874)
19101,Jefferson,Balance of Jefferson County,July 01 2015,5029,POINT (-91.9488774 41.0317596)
1902125,Jackson,Andrew,July 01 2016,412,POINT (-90.5919309 42.153216)
1926940,Calhoun,Farnhamville (pt.),July 01 2015,354,POINT (-94.407793 42.2767837)
1947775,Story,McCallsburg,July 01 2012,330,POINT (-93.3906852 42.1648558)
1984835,Henry,Westwood,July 01 2015,111,POINT (-91.6266238 40.9647732)
1927255,Marshall,Ferguson,July 01 2014,127,POINT (-92.8630313 41.9385801)
1911755,Black Hawk,Cedar Falls,July 01 2017,41116,POINT (-92.4532603 42.5196928)
1954705,Henry,Mount Pleasant,July 01 2015,8411,POINT (-91.5452743 40.9621765)
19177,Van Buren,Balance of Van Buren County,July 01 2011,4029,POINT (-91.9499871 40.7532294)
1917265,Union,Creston,July 01 2017,7864,POINT (-94.3650388 41.0597298)
1906490,Warren,Bevington (pt.),July 01 2015,5,POINT (-93.7902373 41.3595466)
1947370,Kossuth,Lu Verne (pt.),July 01 2017,216,POINT (-94.0836262 42.9092283)
1964110,Franklin,Popejoy,July 01 2015,77,POINT (-93.4278229 42.5938807)
1900775,Plymouth,Akron,April 01 2010,1486,POINT (-96.5570105 42.8266985)
1929010,Bremer,Frederika,July 01 2017,200,POINT (-92.3061682 42.883407)
1917940,Woodbury,Cushing,July 01 2014,219,POINT (-95.675703 42.464969)
1942825,Kossuth,Lakota,July 01 2014,288,POINT (-94.0963165 43.3786517)
1948000,Clayton,McGregor,July 01 2011,866,POINT (-91.1820936 43.0244127)
1953490,Poweshiek,Montezuma,July 01 2018,1412,POINT (-92.5273821 41.5833762)
1956595,Warren,New Virginia,July 01 2017,490,POINT (-93.7310405 41.1816162)
19121,Madison,Balance of Madison County,July 01 2014,7518,POINT (-94.0155619 41.3307142)
1923790,Madison,East Peru,July 01 2015,126,POINT (-93.9295169 41.2270332)
1974955,Buchanan,Stanley (pt.),July 01 2014,119,POINT (-91.8123104 42.6416487)
1973920,Calhoun,Somers,July 01 2017,106,POINT (-94.4309564 42.3787135)
1919360,Decatur,Decatur City,July 01 2018,181,POINT (-93.8327285 40.7423389)
1935670,Keokuk,Hedrick,July 01 2017,742,POINT (-92.3079494 41.1711634)
1980535,Pocahontas,Varina,July 01 2014,69,POINT (-94.8976674 42.6581176)
1978060,Johnson,Tiffin,July 01 2014,2421,POINT (-91.658392 41.7067521)
1903475,Benton,Atkins,July 01 2018,1933,POINT (-91.8585601 41.9942458)
1943410,Lyon,Larchwood,July 01 2018,906,POINT (-96.4368372 43.4544239)
1903160,Dubuque,Asbury,July 01 2016,5478,POINT (-90.7797272 42.5118375)
1983550,Palo Alto,West Bend (pt.),July 01 2017,731,POINT (-94.4456756 42.9599409)
1956910,Floyd,Nora Springs (pt.),April 01 2010,1431,POINT (-93.0094807 43.1445424)
1916725,Louisa,Cotter,July 01 2013,48,POINT (-91.4658078 41.2939949)
1984540,Shelby,Westphalia,July 01 2011,125,POINT (-95.3936653 41.7192516)
1940665,Worth,Kensett,July 01 2014,264,POINT (-93.2106319 43.3534357)
19115,Louisa,Balance of Louisa County,July 01 2014,4752,POINT (-91.2596184 41.2185073)
1938415,Lyon,Inwood,July 01 2016,831,POINT (-96.4350789 43.3092965)
1943905,Woodbury,Lawton,July 01 2012,930,POINT (-96.1851089 42.4769168)
1936480,Plymouth,Hinton,July 01 2015,943,POINT (-96.2974754 42.6212975)
1908155,Buchanan,Brandon,July 01 2018,309,POINT (-92.0032219 42.3150339)
1911305,Jones,Cascade (pt.),July 01 2016,420,POINT (-91.0045814 42.3019211)
1967170,Emmet,Ringsted,July 01 2011,414,POINT (-94.5067295 43.2949389)
1963840,Pocahontas,Plover,July 01 2016,71,POINT (-94.6222266 42.876712)
1904105,Palo Alto,Ayrshire,July 01 2011,142,POINT (-94.8335229 43.0395515)
1940980,Keokuk,Keota (pt.),July 01 2011,999,POINT (-91.953364 41.3654267)
1906625,Van Buren,Birmingham,July 01 2015,434,POINT (-91.9472595 40.8777076)
19171,Tama,Balance of Tama County,July 01 2011,6819,POINT (-92.5325425 42.0798117)
1931350,Mills,Glenwood,July 01 2016,5298,POINT (-95.7407754 41.0445208)
1915240,Story,Colo,July 01 2016,854,POINT (-93.3185991 42.014482)
1949215,Clinton,Maquoketa (pt.),July 01 2018,2,POINT (-90.6650882 42.0598994)
1983910,Warren,West Des Moines (pt.),July 01 2014,21,POINT (-93.7802969 41.5527354)
1968250,Cerro Gordo,Rockwell,July 01 2016,1007,POINT (-93.1871266 42.979966)
1943410,Lyon,Larchwood,July 01 2011,850,POINT (-96.4368372 43.4544239)
1947775,Story,McCallsburg,July 01 2014,333,POINT (-93.3906852 42.1648558)
1959520,Mitchell,Orchard,July 01 2013,71,POINT (-92.7753132 43.2273862)
1970590,Warren,Sandyville,July 01 2013,51,POINT (-93.3863323 41.3707702)
1960420,Humboldt,Ottosen,July 01 2012,42,POINT (-94.3755469 42.8980883)
1929910,Clayton,Garnavillo,April 01 2010,745,POINT (-91.2364097 42.8661313)
1965550,Fayette,Randalia,April 01 2010,68,POINT (-91.8864465 42.8635957)
1957495,Chickasaw,North Washington,July 01 2011,117,POINT (-92.4153905 43.117289)
1964605,Jackson,Preston,April 01 2010,1012,POINT (-90.3973609 42.0490456)
1951735,Des Moines,Middletown,July 01 2016,338,POINT (-91.262221 40.8273404)
19051,Davis,Balance of Davis County,July 01 2015,5566,POINT (-92.4097173 40.7476891)
1975720,Grundy,Stout,July 01 2013,215,POINT (-92.7115452 42.5268983)
